tile_index,jis_code,unicode,character,file_offset
537,0x3564,U+7078,灸,0x25504
538,0x3565,U+7403,球,0x25544
539,0x3566,U+7A76,究,0x25584
540,0x3567,U+7AAE,窮,0x255C4
541,0x3568,U+7B08,笈,0x25604
542,0x3569,U+7D1A,級,0x25644
543,0x356A,U+7CFE,糾,0x25684
544,0x356B,U+7D66,給,0x256C4
545,0x356C,U+65E7,旧,0x25704
546,0x356D,U+725B,牛,0x25744
547,0x356E,U+53BB,去,0x25784
548,0x356F,U+5C45,居,0x257C4
549,0x3570,U+5DE8,巨,0x25804
550,0x3571,U+62D2,拒,0x25844
551,0x3572,U+62E0,拠,0x25884
552,0x3573,U+6319,挙,0x258C4
553,0x3574,U+6E20,渠,0x25904
554,0x3575,U+865A,虚,0x25944
555,0x3576,U+8A31,許,0x25984
556,0x3577,U+8DDD,距,0x259C4
557,0x3578,U+92F8,鋸,0x25A04
558,0x3579,U+6F01,漁,0x25A44
559,0x357A,U+79A6,禦,0x25A84
560,0x357B,U+9B5A,魚,0x25AC4
561,0x357C,U+4EA8,亨,0x25B04
562,0x357D,U+4EAB,享,0x25B44
563,0x357E,U+4EAC,京,0x25B84
564,0x3621,U+4F9B,供,0x25BC4
565,0x3622,U+4FA0,侠,0x25C04
566,0x3623,U+50D1,僑,0x25C44
567,0x3624,U+5147,兇,0x25C84
568,0x3625,U+7AF6,競,0x25CC4
569,0x3626,U+5171,共,0x25D04
570,0x3627,U+51F6,凶,0x25D44
571,0x3628,U+5354,協,0x25D84
572,0x3629,U+5321,匡,0x25DC4
573,0x362A,U+537F,卿,0x25E04
574,0x362B,U+53EB,叫,0x25E44
575,0x362C,U+55AC,喬,0x25E84
576,0x362D,U+5883,境,0x25EC4
577,0x362E,U+5CE1,峡,0x25F04
578,0x362F,U+5F37,強,0x25F44
579,0x3630,U+5F4A,彊,0x25F84
580,0x3631,U+602F,怯,0x25FC4
581,0x3632,U+6050,恐,0x26004
582,0x3633,U+606D,恭,0x26044
583,0x3634,U+631F,挟,0x26084
584,0x3635,U+6559,教,0x260C4
585,0x3636,U+6A4B,橋,0x26104
586,0x3637,U+6CC1,況,0x26144
587,0x3638,U+72C2,狂,0x26184
588,0x3639,U+72ED,狭,0x261C4
589,0x363A,U+77EF,矯,0x26204
590,0x363B,U+80F8,胸,0x26244
591,0x363C,U+8105,脅,0x26284
592,0x363D,U+8208,興,0x262C4
593,0x363E,U+854E,蕎,0x26304
594,0x363F,U+90F7,郷,0x26344
595,0x3640,U+93E1,鏡,0x26384
596,0x3641,U+97FF,響,0x263C4
597,0x3642,U+9957,饗,0x26404
598,0x3643,U+9A5A,驚,0x26444
599,0x3644,U+4EF0,仰,0x26484
600,0x3645,U+51DD,凝,0x264C4
601,0x3646,U+5C2D,尭,0x26504
602,0x3647,U+6681,暁,0x26544
603,0x3648,U+696D,業,0x26584
604,0x3649,U+5C40,局,0x265C4
605,0x364A,U+66F2,曲,0x26604
606,0x364B,U+6975,極,0x26644
607,0x364C,U+7389,玉,0x26684
608,0x364D,U+6850,桐,0x266C4
609,0x364E,U+7C81,粁,0x26704
610,0x364F,U+50C5,僅,0x26744
611,0x3650,U+52E4,勤,0x26784
612,0x3651,U+5747,均,0x267C4
613,0x3652,U+5DFE,巾,0x26804
614,0x3653,U+9326,錦,0x26844
615,0x3654,U+65A4,斤,0x26884
616,0x3655,U+6B23,欣,0x268C4
617,0x3656,U+6B3D,欽,0x26904
618,0x3657,U+7434,琴,0x26944
619,0x3658,U+7981,禁,0x26984
620,0x3659,U+79BD,禽,0x269C4
621,0x365A,U+7B4B,筋,0x26A04
622,0x365B,U+7DCA,緊,0x26A44
623,0x365C,U+82B9,芹,0x26A84
624,0x365D,U+83CC,菌,0x26AC4
625,0x365E,U+887F,衿,0x26B04
626,0x365F,U+895F,襟,0x26B44
627,0x3660,U+8B39,謹,0x26B84
628,0x3661,U+8FD1,近,0x26BC4
629,0x3662,U+91D1,金,0x26C04
630,0x3663,U+541F,吟,0x26C44
631,0x3664,U+9280,銀,0x26C84
632,0x3665,U+4E5D,九,0x26CC4
633,0x3666,U+5036,倶,0x26D04
634,0x3667,U+53E5,句,0x26D44
635,0x3668,U+533A,区,0x26D84
636,0x3669,U+72D7,狗,0x26DC4
637,0x366A,U+7396,玖,0x26E04
638,0x366B,U+77E9,矩,0x26E44
639,0x366C,U+82E6,苦,0x26E84
